                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 1.2078,                0.65598,                 1.0362,                0.94124,                0.91484,                0.96517,                0.66204,                 1.1527,                0.52337,                  1.006,               0.003664,               0.003664,               0.003664
                    130,                 1.2108,                0.65744,                 1.0389,                0.94124,                0.91484,                 0.9654,                0.66254,                  1.152,                0.52274,                 1.0058,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.2122,                0.65375,                 1.0363,                0.94237,                 0.9147,                0.96556,                0.66254,                 1.1514,                0.52231,                 1.0054,               0.003565,               0.003565,               0.003565
                    132,                 1.2035,                0.64987,                 1.0358,                0.94272,                0.91463,                0.96554,                0.66282,                 1.1512,                0.52188,                 1.0054,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.2019,                0.64924,                 1.0376,                0.94261,                0.91568,                0.96592,                0.66288,                 1.1508,                0.52135,                 1.0052,               0.003466,               0.003466,               0.003466
                    134,                  1.199,                0.64958,                  1.034,                0.94206,                0.91627,                0.96675,                0.66313,                 1.1506,                0.52079,                 1.0051,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.2009,                0.64798,                 1.0355,                0.94209,                0.91679,                0.96693,                 0.6631,                 1.1501,                 0.5203,                 1.0049,               0.003367,               0.003367,               0.003367
                    136,                 1.1973,                0.65045,                 1.0328,                0.94227,                0.91651,                0.96703,                0.66336,                 1.1499,                0.51978,                 1.0048,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.1958,                0.64385,                 1.0318,                0.94215,                0.91609,                0.96705,                0.66357,                 1.1495,                0.51926,                 1.0045,               0.003268,               0.003268,               0.003268
                    138,                  1.195,                0.64394,                 1.0324,                0.94209,                0.91609,                0.96642,                 0.6639,                 1.1487,                0.51878,                  1.004,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.2022,                 0.6477,                 1.0344,                 0.9387,                0.91755,                0.96655,                0.66383,                 1.1483,                0.51832,                 1.0038,               0.003169,               0.003169,               0.003169
                    140,                 1.1939,                0.64643,                 1.0321,                0.93804,                0.91961,                0.96718,                0.66418,                 1.1476,                0.51788,                 1.0034,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.1953,                0.64473,                 1.0297,                 0.9381,                0.92056,                0.96744,                0.66398,                 1.1474,                0.51749,                 1.0032,                0.00307,                0.00307,                0.00307
                    142,                 1.1902,                0.64009,                 1.0299,                0.93646,                0.92361,                0.96762,                0.66413,                  1.147,                0.51694,                  1.003,              0.0030205,              0.0030205,              0.0030205
                    143,                  1.187,                0.64242,                 1.0304,                0.93668,                0.92215,                0.96734,                0.66452,                 1.1462,                0.51632,                 1.0026,               0.002971,               0.002971,               0.002971
                    144,                 1.1898,                0.64228,                   1.03,                 0.9363,                0.92346,                0.96738,                0.66462,                 1.1457,                0.51578,                 1.0023,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.1852,                0.63796,                 1.0278,                0.93652,                0.92373,                0.96753,                0.66512,                 1.1449,                0.51527,                  1.002,               0.002872,               0.002872,               0.002872
                    146,                  1.184,                0.63733,                 1.0278,                0.93655,                 0.9242,                0.96751,                0.66507,                 1.1444,                0.51476,                 1.0017,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.1812,                0.63748,                  1.028,                0.93662,                0.92541,                0.96791,                0.66595,                 1.1438,                0.51431,                 1.0014,               0.002773,               0.002773,               0.002773
                    148,                 1.1859,                0.63613,                 1.0288,                0.93683,                0.92551,                0.96798,                0.66604,                 1.1435,                0.51379,                 1.0012,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.1745,                0.63112,                 1.0268,                0.93661,                0.92674,                0.96776,                0.66625,                  1.143,                0.51326,                 1.0009,               0.002674,               0.002674,               0.002674
                    150,                 1.1767,                0.63194,                 1.0249,                0.93646,                0.92632,                0.96781,                0.66647,                 1.1425,                0.51256,                 1.0006,              0.0026245,              0.0026245,              0.0026245
